"","site_code","location_name","sample_collector","lat","long","gap_num","gap_size","gaps","depth","analyte_avg","analyte_tot","soil_lyrs_n","layer_tops","calc_notes"
"72","RCCZO","Reynolds Creek CZO","Ryan Will",43.10253977,-116.7837883,0,0,NA,30,2201.66666666667,8150,4,"0,5,10,20,30,40,50,60,70,80",""
"73","RCCZO","Reynolds Creek CZO","Ryan Will",43.10272496,-116.7837205,0,0,NA,30,2060,8230,4,"0,5,10,20,30,40,50,60,70,80",""
"74","RCCZO","Reynolds Creek CZO","Ryan Will",43.10272712,-116.7837084,0,0,NA,30,2093.33333333333,8020,4,"0,5,10,20,30,40,50,60,70,80",""
"75","RCCZO","Reynolds Creek CZO","Ryan Will",43.10453363,-116.7381171,0,0,NA,30,533.333333333333,1940,4,"0,5,10,20,30,40,50,60,70,80",""
"76","RCCZO","Reynolds Creek CZO","Ryan Will",43.10454054,-116.7381214,0,0,NA,30,398.333333333333,1590,4,"0,5,10,20,30,40,50,60,70,80",""
"77","RCCZO","Reynolds Creek CZO","Ryan Will",43.10455478,-116.7379856,0,0,NA,30,415,1550,4,"0,5,10,20,30,40,50,60,70,80",""
"78","RCCZO","Reynolds Creek CZO","Ryan Will",43.10456275,-116.7379914,0,0,NA,30,341.666666666667,1370,4,"0,5,10,20,30,40,50,60,70,80",""
"79","RCCZO","Reynolds Creek CZO","Ryan Will",43.10462141,-116.7382894,0,0,NA,30,578.333333333333,1930,4,"0,5,10,20,30,40,50,60,70,80",""
"80","RCCZO","Reynolds Creek CZO","Ryan Will",43.10462945,-116.738294,0,0,NA,30,481.666666666667,1790,4,"0,5,10,20,30,40,50,60,70,80",""
"81","RCCZO","Reynolds Creek CZO","Ryan Will",43.10465181,-116.7381189,0,0,NA,30,543.333333333333,1890,4,"0,5,10,20,30,40,50,60,70,80",""
"82","RCCZO","Reynolds Creek CZO","Ryan Will",43.10465614,-116.7381329,0,0,NA,30,309.444444444444,1183.33333333333,4,"0,5,10,20,30,40,50,60,70,80",""
"83","RCCZO","Reynolds Creek CZO","Ryan Will",43.10477724,-116.7379634,0,0,NA,30,346.666666666667,1310,4,"0,5,10,20,30,40,50,60,70,80",""
"84","RCCZO","Reynolds Creek CZO","Ryan Will",43.10478041,-116.7379677,0,0,NA,30,200,880,4,"0,5,10,20,30,40,50,60,70,80",""
"85","RCCZO","Reynolds Creek CZO","Ryan Will",43.10610637,-116.7730034,0,0,NA,30,1421.66666666667,6060,4,"0,5,10,20,30,40,50,60,70,80",""
"86","RCCZO","Reynolds Creek CZO","Ryan Will",43.10611675,-116.7730154,0,0,NA,30,1036.66666666667,4240,4,"0,5,10,20,30,40,50,60,70,80",""
"87","RCCZO","Reynolds Creek CZO","Ryan Will",43.1061696,-116.7728966,0,0,NA,30,1250,5460,4,"0,5,10,20,30,40,50,60,70,80",""
"88","RCCZO","Reynolds Creek CZO","Ryan Will",43.10617939,-116.7728948,0,0,NA,30,1225,5230,4,"0,5,10,20,30,40,50,60,70,80",""
"89","RCCZO","Reynolds Creek CZO","Ryan Will",43.10619377,-116.7730587,0,0,NA,30,1072.22222222222,4283.33333333333,4,"0,5,10,20,30,40,50,60,70,80",""
"90","RCCZO","Reynolds Creek CZO","Ryan Will",43.10620136,-116.7730664,0,0,NA,30,1091.66666666667,4350,4,"0,5,10,20,30,40,50,60,70,80",""
"91","RCCZO","Reynolds Creek CZO","Ryan Will",43.1062148,-116.7731925,0,0,NA,30,1105,4350,4,"0,5,10,20,30,40,50,60,70,80",""
"92","RCCZO","Reynolds Creek CZO","Ryan Will",43.10621659,-116.7732046,0,0,NA,30,943.333333333333,3600,4,"0,5,10,20,30,40,50,60,70,80",""
"93","RCCZO","Reynolds Creek CZO","Ryan Will",43.10637732,-116.7730477,0,0,NA,30,1258.33333333333,5220,4,"0,5,10,20,30,40,50,60,70,80",""
"94","RCCZO","Reynolds Creek CZO","Ryan Will",43.10638402,-116.7730514,0,0,NA,30,1131.66666666667,4820,4,"0,5,10,20,30,40,50,60,70,80",""
"95","RCCZO","Reynolds Creek CZO","Ryan Will",43.11046311,-116.7329183,0,0,NA,30,1573.33333333333,6130,4,"0,5,10,20,30,40,50,60,70,80",""
