FID,site_code,location_name,lat,long,gap_num,gap_size,gaps,depth,analyte_avg,soil_lyrs_n,calc_notes
214,RCCZO,Reynolds Creek CZO,43.19083136,-116.78145730,0,0,NA,30,711.6666667,4,
215,RCCZO,Reynolds Creek CZO,43.19086736,-116.78127170,0,0,NA,30,806.6666667,4,
216,RCCZO,Reynolds Creek CZO,43.19087654,-116.78126250,0,0,NA,30,953.3333333,4,
217,RCCZO,Reynolds Creek CZO,43.19100111,-116.78140890,0,0,NA,30,616.6666667,4,
218,RCCZO,Reynolds Creek CZO,43.19101239,-116.78142120,0,0,NA,30,648.3333333,4,
219,RCCZO,Reynolds Creek CZO,43.19102938,-116.78132560,0,0,NA,30,606.6666667,4,
220,RCCZO,Reynolds Creek CZO,43.19103350,-116.78133660,0,0,NA,30,783.3333333,4,
221,RCCZO,Reynolds Creek CZO,43.19113484,-116.78162100,0,0,NA,30,893.3333333,4,
222,RCCZO,Reynolds Creek CZO,43.19114227,-116.78161400,0,0,NA,30,788.3333333,4,
223,RCCZO,Reynolds Creek CZO,43.19159234,-116.80956460,0,0,NA,30,1225.384615,4,trim: loess approx to 30 cm
224,RCCZO,Reynolds Creek CZO,43.19214026,-116.80797320,0,0,NA,30,2370,4,
225,RCCZO,Reynolds Creek CZO,43.19237201,-116.71770770,0,0,NA,30,428.3333333,4,
226,RCCZO,Reynolds Creek CZO,43.19237763,-116.71771520,0,0,NA,30,358.3333333,4,
227,RCCZO,Reynolds Creek CZO,43.19243739,-116.80663190,0,0,NA,30,1483.333333,4,
228,RCCZO,Reynolds Creek CZO,43.19249519,-116.71795560,0,0,NA,30,485,4,
229,RCCZO,Reynolds Creek CZO,43.19249794,-116.71796920,0,0,NA,30,310,4,
230,RCCZO,Reynolds Creek CZO,43.19250758,-116.71782670,0,0,NA,30,226.1111111,4,
231,RCCZO,Reynolds Creek CZO,43.19251073,-116.71779660,0,0,NA,30,390,4,
232,RCCZO,Reynolds Creek CZO,43.19254476,-116.71766260,0,0,NA,30,315,4,
233,RCCZO,Reynolds Creek CZO,43.19255488,-116.71765460,0,0,NA,30,281.6666667,4,
234,RCCZO,Reynolds Creek CZO,43.19271436,-116.71792260,0,0,NA,30,293.3333333,4,
235,RCCZO,Reynolds Creek CZO,43.19271998,-116.71793570,0,0,NA,30,555,4,
236,RCCZO,Reynolds Creek CZO,43.19273015,-116.81492830,0,0,NA,30,711.6666667,4,
237,RCCZO,Reynolds Creek CZO,43.19347351,-116.81069100,0,0,NA,30,512.7027027,4,trim: loess approx to 30 cm
238,RCCZO,Reynolds Creek CZO,43.19787440,-116.81239190,0,0,NA,30,1726.666667,4,
239,RCCZO,Reynolds Creek CZO,43.19787888,-116.81220480,0,0,NA,30,1873.333333,4,
240,RCCZO,Reynolds Creek CZO,43.19788121,-116.81238030,0,0,NA,30,1673.333333,4,
241,RCCZO,Reynolds Creek CZO,43.19788863,-116.81220280,0,0,NA,30,1951.666667,4,
242,RCCZO,Reynolds Creek CZO,43.19793459,-116.81242110,0,0,NA,30,1442.777778,4,
243,RCCZO,Reynolds Creek CZO,43.19794613,-116.81252350,0,0,NA,30,1393.333333,4,
244,RCCZO,Reynolds Creek CZO,43.19794755,-116.81251260,0,0,NA,30,1725,4,
245,RCCZO,Reynolds Creek CZO,43.19795394,-116.81240890,0,0,NA,30,1855,4,
246,RCCZO,Reynolds Creek CZO,43.19806551,-116.81258610,0,0,NA,30,1693.333333,4,
247,RCCZO,Reynolds Creek CZO,43.19807057,-116.81257820,0,0,NA,30,1416.666667,4,
248,RCCZO,Reynolds Creek CZO,43.20024555,-116.70574670,0,0,NA,30,657.7777778,4,trim: loess approx to 30 cm
249,RCCZO,Reynolds Creek CZO,43.20529592,-116.75060160,0,0,NA,30,404.6875,4,trim: loess approx to 30 cm
250,RCCZO,Reynolds Creek CZO,43.21124140,-116.73563810,0,0,NA,30,860,4,
251,RCCZO,Reynolds Creek CZO,43.21125166,-116.73564710,0,0,NA,30,908.3333333,4,
252,RCCZO,Reynolds Creek CZO,43.21141852,-116.73567520,0,0,NA,30,575,4,
253,RCCZO,Reynolds Creek CZO,43.21142139,-116.73568780,0,0,NA,30,553.3333333,4,
254,RCCZO,Reynolds Creek CZO,43.21144386,-116.73576130,0,0,NA,30,815,4,
255,RCCZO,Reynolds Creek CZO,43.21144733,-116.73596870,0,0,NA,30,346.6666667,4,
256,RCCZO,Reynolds Creek CZO,43.21145198,-116.73595800,0,0,NA,30,446.6666667,4,
257,RCCZO,Reynolds Creek CZO,43.21145291,-116.73577970,0,0,NA,30,385,4,
