"","Site","lat","long","SOC","CLAY","pGPP","TSOI","lig_N","MIMSOC","MIMMIC","MIMLIT","MIM_CO","LITm","LITs","MICr","MICK","SOMa","SOMc","SOMp","desorb","JITn","DEBUG","run_num","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","RMSE"
"30","S269",43.23466902,-116.7465502,1.94,22.1000004,-163.3549957,10.8114996,11.6999998,2.06847851488379,0.0172946732546332,0.51562409700353,0.514915342628129,0.0749482273539824,0.440675869649548,0.0058784094094009,0.0114162638452323,0.1560218266445,0.264361331219674,1.11517658676145,8.45042406281913e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"31","S271",43.24381094,-116.7069646,1.37,12.3000002,-269.9020081,10.9443998,11.6999998,1.14235208006844,0.0127365809904733,0.37155455866726,0.473041405856225,0.0568580756952407,0.31469648297202,0.00409012954665256,0.00864645144382077,0.091837848857293,0.18857795279654,0.477645138756874,9.78858223181513e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"32","S272",43.24391588,-116.7288696,1.91,12.3000002,-235.6100006,9.7424402,11.6999998,1.56652589558063,0.0143183047123011,0.540148443649945,0.472911105569308,0.0834333782033224,0.456715065446622,0.00459721247655019,0.00972109223575092,0.134770255057891,0.27374475465253,0.603544137507961,9.78858223181513e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"33","S294",43.24722932,-116.7379734,0.71,11.3000002,-122.663002,12.5579996,11.6999998,1.68187471038979,0.0185837520204895,0.383753296099078,0.469412261375498,0.0583278191171011,0.325425476981977,0.00593668726611382,0.0126470647543756,0.091380540531428,0.194976785541456,0.993180336197343,9.93651770758083e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"34","S304",43.25439319,-116.7063661,1.96,21.7999992,-149.4850006,10.184,11.6999998,2.28323202102736,0.0178101828120434,0.601985466586699,0.511520042216838,0.0887662463883258,0.513219220198374,0.00602722108172952,0.0117829617303138,0.183619581672897,0.308556316459419,1.1712604734963,8.48853681292444e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"35","S314",43.25865197,-116.7756558,1.47,29.7000008,-171.6009979,12.4345999,11.6999998,1.99834060317166,0.0170698867691805,0.358623430447959,0.559677133017725,0.0488831442371745,0.309740286210785,0.00612538652113683,0.0109445002480436,0.11995713555167,0.185896164939159,1.3167939854637,7.53995805539076e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"36","S329",43.27973743,-116.8086913,4.23,30.1000004,77.8732986,6.6839399,11.6999998,5.38077781240715,0.0319256870820887,1.37252265875942,0.555477070908004,0.19679177751974,1.17573088123968,0.0114009955394148,0.0205246915426739,0.485432454842665,0.707106963874545,2.78379004784843,7.49485380024072e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"37","S336",43.28654277,-116.778822,2.49,29.7248001,-54.4290009,11.6964998,11.6999998,2.88560903708243,0.0230768225020663,0.468247445945045,0.553367581636381,0.0649033155870251,0.40334413035802,0.00822082655179919,0.0148559959502671,0.158920727214659,0.24257185313793,1.99279218828273,7.53715379177436e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"38","S139.5",43.1285589,-116.7967586,7.91,20.4,1250.559998,10.8751497,18.35,8.56544324246939,0.109193625697096,0.561386140061797,0.507015416144682,0.0823493271536448,0.479036812908153,0.0367367519801435,0.0724568737169527,0.164758895269213,0.287202684084328,7.44290189735696,8.66868087547121e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"39","S15",43.12971095,-116.7934963,7.17,11.26,866.3049927,9.9629402,11.6999998,5.80759523405258,0.08325357570053,0.682887613527194,0.469477169239024,0.105718721431284,0.57716889209591,0.0265983397817282,0.0566552359188018,0.165431906030858,0.345696533827421,4.53032560496657,9.94248143696378e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"40","S16",43.20529592,-116.7506016,1.348333333,11.260625,-20.493,10.8393002,11.6999998,2.37105829419327,0.0249541572072871,0.565510652383569,0.469267469931471,0.0870329844225561,0.478477667961013,0.00797007655623247,0.0169840806510546,0.136184623144847,0.286673456050607,1.35773540540696,9.94238822663723e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"41","S17",43.12565165,-116.7811645,1.793125,11.43563636,394.95401,11.1189003,11.6999998,3.84014086270115,0.0522744901135916,0.532668905273804,0.469987442795582,0.0817381738938409,0.450930731379963,0.0167133087104516,0.03556118140314,0.128600759377895,0.270139421078627,2.85645728685723,9.91632199248219e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"42","S18",43.24720654,-116.7071648,0.68,11.63333333,-212.5399933,11.2952003,11.6999998,1.41608632183938,0.0152820153973407,0.413699896470522,0.470606702416419,0.0633488356441154,0.350351060826407,0.00489037542165573,0.0103916399756849,0.100274789648654,0.209922734968065,0.676906885354802,9.88695914891722e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"43","S19",43.06815056,-116.7584612,10.3,11.77166667,1159.089966,7.6005998,11.6999998,7.74149660665911,0.10253156189917,1.13406061850948,0.471412209952393,0.178079690322496,0.955980928186984,0.0328491430598651,0.0696824188393051,0.283106044612178,0.5725497916295,5.64924859000878,9.86646497775148e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"44","S2",43.11980227,-116.722923,5.56,6.333333333,517.4790039,7.6586399,15.5909996,4.88795085027296,0.0601366453159926,1.12049245756654,0.452788399246459,0.180261564695674,0.940230892870864,0.0187426987872451,0.0413939465287475,0.23694023071815,0.562871795257841,2.90750972141443,1.07050611152574e-06,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"45","S20",43.06520205,-116.7593348,2.906666667,11.87875,300.5150146,9.34935,11.6999998,3.95672539326784,0.0460768209000901,0.778800454364305,0.471626526576406,0.120750901096412,0.658049553267892,0.014766688833306,0.0313101320667842,0.192584612398033,0.394233264541739,2.54503024106367,9.85062968999401e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"46","S22",43.19273015,-116.8149283,2.73,12.28333333,287.8999939,9.3677101,11.6999998,3.93205243615056,0.0452596614945658,0.775667023037304,0.473091898844007,0.120025367410198,0.655641655627105,0.0145353994644217,0.0307242620301441,0.193775788505141,0.392817761206219,2.52453220190733,9.79102971315441e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"47","S23",43.12385697,-116.7800245,3.462142857,12.293,414.5589905,11.9081001,11.6999998,3.83214184977565,0.0535929136669738,0.449657081148673,0.473142049924654,0.0683297839776755,0.381327297170998,0.0172129096682319,0.0363800039987419,0.110347822004974,0.228462098030699,2.99008193492433,9.78961011627975e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"48","S25",43.13301998,-116.7920531,6.83,12.33166667,179.802002,9.8768396,11.6999998,3.38945715815715,0.0381498252080003,0.695263281685328,0.47322294423147,0.107184860375985,0.588078421309343,0.0122543384743873,0.025895486733613,0.173293629351139,0.352363333534318,2.13038708837837,9.78393378821723e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"49","S27",43.19159234,-116.8095646,4.628947368,12.44717949,365.4200134,6.9818702,11.6999998,5.14922369085806,0.0503651242622989,1.29446803021854,0.473708621252915,0.203565916034408,1.09090211418413,0.0161893560432872,0.0341757682190117,0.330260269325765,0.653594983840353,2.8205352832111,9.7669959197734e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"50","S29",43.12349175,-116.7874879,10.23648649,12.678,1169.189941,5.5837402,11.6999998,9.00143739260357,0.103257801580518,1.74826465425646,0.474747788739156,0.277293376552127,1.47097127770434,0.0332405400738581,0.0700172615066601,0.452981259684112,0.881079122647881,5.8158545544346,9.73323804887309e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
